above,prep.在...之上，高于
abroad,adv.国外，海外
according,adj.按照，据...说
account,n.账目 v.说明
accounting,n.会计学
across,prep.横越 adv.横穿
action,n.行为，行动
age,n.年龄，时代
agency,n.代理，代理处
ago,adv....以前
agree,v.同意，一致认为
agreement,n.一致，协议
air,n.空气，气派
almost,adv.几乎，差不多
along,prep.沿着 adv.一起
although,conj.虽然
always,adv.总是，始终
among,prep.在...之中
amount,n.数量，总数 v.合计
anyone,pron.无论谁
area,n.地区，面积，领域
argue,v.争论，辩论
army,n.军队，陆军
attempt,v.,n.尝试，企图
average,adj.平均的 n.平均数
away,adv.去，远离，在远处
bank,n.岸，银行
barely,adv.赤裸裸地
battle,n.战斗，战役
become,v.变成
below,adj.,prep.在...下面
best,adj.最好的
better,adj.更好的 adv.较好
bill,n.帐单，议案，钞票
black,adj.黑的 n.黑色
boom,v.隆隆响，兴旺，繁荣
boost,v.抬高，促进
border,n.国界，边境
break,n.打破，破坏 n.裂口
bring,v.拿来，带来
budget,n.预算
building,n.建筑物，大楼
campaign,n.战役，运动
campus,n.校园
capacity,n.容量，容积，资格
care,n.注意，小心 v.关心
carry,v.搬运，携带
case,n.事实，案例，箱子
cause,n.原因，理由，事业
central,adj.中心的，中央的
century,n.世纪
challenge,n.,v.挑战，质问
chance,n.机会，可能性
change,n.变化，零钱 v.改变
chart,n.图表 v.制定计划
chief,adj.首席的，首要的
city,n.城市
classical,adj.经典的，古典的
close,v.关闭，结束 n.终结
come,v.来到，出现，发生
commodity,n.商品
common,adj.共同的，普通的
company,n.公司，同伴
conservative,adj.保守的，稳健的
constitution,n.宪法，章程
contrast,n.,v.对照，对比
control,v.,n.控制，管理
core,n.核，核心
corporate,n.有限公司
corruption,n.腐败，腐化
cost,n.成本，费用 v.花费
course,n.过程，路线，课程
court,n.法庭，宫廷，球场
create,v.创造，创作，造成
credit,n.信誉，信用 v.相信
crew,n.(飞机等的)全体人员
crisis,n.危险，危险期
cross,n.十字，交叉 v.横过
cruise,v.巡游，巡航
currency,n.通货，货币
current,adj.现令的 n.流
cut,v.割，切，削减，切断
damage,v.,n.损害，破坏
data,n.(复数)资料，数据
day,n.一天，白天
deal,v.处理，交易 n.买卖
death,n.死，死亡
debt,n.债，债务
decade,n.十年
decision,n.决定，决议
deep,adj.深的，深远的
defence,n.保卫，防御
demand,v.,n.要求，需求
democratic,adj.民主的
despite,prep.不管，任凭
different,adj.不同的，各种
disaster,n.自然灾害，祸患
discovery,n.发现，发现物
dollar,n.元，美元
during,prep.在...期间
